JobID,PropertyID,PropertyNickname,TypeID,ContractorName,ScheduledDate,Status,SessionNumber,IsCustomJob,Rescheduled,Reassigned,TypeOverridden,Cancelled,OriginalScheduledDate,OriginalContractor,OriginalType,OnMyWayAt,StartedAt,FinishedAt,FinishedLat,FinishedLng,PhotoCount,PhotoUrls,CrewNotes,OfficeNotes,UpdatedBy,LastUpdate
J-0051,P-004,ERIC,VAC1,Tony Bolt,2026-10-21T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0056,P-005,2049,RNT,Tony Bolt,2026-05-01T16:00:00.000Z,Done,1.0,,yes,yes,,,2026-05-01T16:00:00Z,Tony Bolt,,,,,,,1,https://raw.githubusercontent.com/emw-oldwell/oldwell-mowing-dashboard/main/photos/J-0056_IMG_2691.jpeg,,,OFFICE_ALL,2026-05-17T14:36:57.455Z
J-0057,P-005,2049,RNT,Pristine Properties,2026-05-27T12:00:00Z,Pending,2.0,,,,,,,,,,,,,,1,https://raw.githubusercontent.com/emw-oldwell/oldwell-mowing-dashboard/main/photos/J-0057_2049_CLT_HWY_mow_photo1.jpg,,,,
J-0058,P-005,2049,RNT,Pristine Properties,2026-06-10T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0059,P-005,2049,RNT,Pristine Properties,2026-06-24T12:00:00Z,Pending,2.0,,,,,,,,,,,,,,0,,,,,
J-0060,P-005,2049,RNT,Pristine Properties,2026-07-08T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0061,P-005,2049,RNT,Pristine Properties,2026-07-22T12:00:00Z,Pending,2.0,,,,,,,,,,,,,,0,,,,,
J-0062,P-005,2049,RNT,Pristine Properties,2026-08-05T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0063,P-005,2049,RNT,Pristine Properties,2026-08-19T12:00:00Z,Pending,2.0,,,,,,,,,,,,,,0,,,,,
J-0064,P-005,2049,RNT,Pristine Properties,2026-09-02T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0065,P-005,2049,RNT,Pristine Properties,2026-09-19T12:00:00Z,Pending,2.0,,,,,,,,,,,,,,0,,,,,
J-0066,P-005,2049,RNT,Pristine Properties,2026-10-06T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0067,P-006,BOUND,VAC2,George Jimenez Landscaping,2026-06-24T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0068,P-006,BOUND,VAC2,George Jimenez Landscaping,2026-08-08T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0069,P-006,BOUND,VAC2,George Jimenez Landscaping,2026-09-22T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0080,P-007,CHURCH,VAC2,George Jimenez Landscaping,2026-06-06T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0081,P-007,CHURCH,VAC2,George Jimenez Landscaping,2026-07-21T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0082,P-007,CHURCH,VAC2,George Jimenez Landscaping,2026-09-04T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0083,P-007,CHURCH,VAC2,George Jimenez Landscaping,2026-10-19T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0093,P-008,15TH,VAC2,George Jimenez Landscaping,2026-06-24T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0094,P-008,15TH,VAC2,George Jimenez Landscaping,2026-08-08T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0095,P-008,15TH,VAC2,George Jimenez Landscaping,2026-09-22T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0106,P-009,DON1,VAC2,Lawn Pro Guys,2026-04-26T12:00:00Z,Done,1.0,,,,,,,,,,,,,,1,https://raw.githubusercontent.com/emw-oldwell/oldwell-mowing-dashboard/main/photos/J-0106_1126_Don_Ave_mow_photo.jpg,,,,
J-0107,P-009,DON1,VAC2,Lawn Pro Guys,2026-06-10T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0108,P-009,DON1,VAC2,Lawn Pro Guys,2026-07-25T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0109,P-009,DON1,VAC2,Lawn Pro Guys,2026-09-08T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0110,P-009,DON1,VAC2,Lawn Pro Guys,2026-10-23T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0132,P-011,RACE,VAC2,The Farm Crew Landscaping,2026-04-23T12:00:00Z,Done,1.0,,,,,,,,,,,,,,1,https://raw.githubusercontent.com/emw-oldwell/oldwell-mowing-dashboard/main/photos/J-0132_N_Race_St_mow_photo.jpg,,,,
J-0133,P-011,RACE,VAC2,The Farm Crew Landscaping,2026-06-07T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0134,P-011,RACE,VAC2,The Farm Crew Landscaping,2026-07-22T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0135,P-011,RACE,VAC2,The Farm Crew Landscaping,2026-09-05T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0136,P-011,RACE,VAC2,The Farm Crew Landscaping,2026-10-20T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0138,P-012,707,LUX,Pristine Properties,2026-05-06T12:00:00Z,Done,1.0,,,,,,,,,,,,,,1,https://raw.githubusercontent.com/emw-oldwell/oldwell-mowing-dashboard/main/photos/J-0138_IMG_2694.jpeg,,,,
J-0139,P-012,707,LUX,Pristine Properties,2026-05-13T12:00:00Z,Done,2.0,,,,,,,,,,,,,,1,https://raw.githubusercontent.com/emw-oldwell/oldwell-mowing-dashboard/main/photos/J-0139_IMG_1975.heic,,,,
J-0140,P-012,707,LUX,Pristine Properties,2026-05-20T12:00:00Z,Pending,3.0,,,,,,,,,,,,,,0,,,,,
J-0141,P-012,707,LUX,Pristine Properties,2026-05-27T12:00:00Z,Pending,4.0,,,,,,,,,,,,,,0,,,,,
J-0142,P-012,707,LUX,Pristine Properties,2026-06-03T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0143,P-012,707,LUX,Pristine Properties,2026-06-10T12:00:00Z,Pending,2.0,,,,,,,,,,,,,,0,,,,,
J-0144,P-012,707,LUX,Pristine Properties,2026-06-17T12:00:00Z,Pending,3.0,,,,,,,,,,,,,,0,,,,,
J-0145,P-012,707,LUX,Pristine Properties,2026-06-24T12:00:00Z,Pending,4.0,,,,,,,,,,,,,,0,,,,,
J-0146,P-012,707,LUX,Pristine Properties,2026-07-05T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0147,P-012,707,LUX,Pristine Properties,2026-07-27T12:00:00Z,Pending,3.0,,,,,,,,,,,,,,0,,,,,
J-0148,P-012,707,LUX,Pristine Properties,2026-08-07T12:00:00Z,Pending,4.0,,,,,,,,,,,,,,0,,,,,
J-0149,P-012,707,LUX,Pristine Properties,2026-08-18T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0150,P-012,707,LUX,Pristine Properties,2026-08-29T12:00:00Z,Pending,2.0,,,,,,,,,,,,,,0,,,,,
J-0151,P-012,707,LUX,Pristine Properties,2026-09-10T12:00:00Z,Pending,3.0,,,,,,,,,,,,,,0,,,,,
J-0152,P-012,707,LUX,Pristine Properties,2026-09-22T12:00:00Z,Pending,4.0,,,,,,,,,,,,,,0,,,,,
J-0153,P-012,707,LUX,Pristine Properties,2026-10-06T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0154,P-012,707,LUX,Pristine Properties,2026-10-20T12:00:00Z,Pending,2.0,,,,,,,,,,,,,,0,,,,,
J-0156,P-006,BOUND,VAC2,George Jimenez Landscaping,2026-05-10T12:00:00Z,Done,,,,,,,,,,,,,,,0,,,,,
J-0157,P-008,15TH,VAC2,George Jimenez Landscaping,2026-05-10T12:00:00Z,Done,,,,,,,,,,,,,,,0,,,,,
J-0158,P-007,CHURCH,VAC2,George Jimenez Landscaping,2026-04-22T12:00:00Z,Done,,,,,,,,,,,,,,,0,,,,,
